ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
57,F,Flight,3,4,245,2,medium,F,1,4427
58,F,Flight,2,5,125,4,low,M,5,5866
59,D,Ship,2,4,252,4,medium,M,4,4787
60,C,Flight,3,3,189,4,medium,F,51,2208
61,C,Flight,3,1,269,2,medium,M,6,5703
62,C,Ship,4,2,274,2,low,M,11,3013
63,F,Ship,5,4,231,2,medium,F,7,5491
64,D,Ship,5,2,233,7,medium,F,8,5519
65,B,Ship,4,4,191,6,low,F,60,3425
66,F,Ship,3,4,257,5,medium,F,5,5365
67,B,Road,4,4,268,6,medium,F,3,4834
68,C,Flight,6,2,152,2,low,F,9,1993
69,F,Road,4,4,217,2,low,M,6,4029
70,F,Ship,4,1,163,4,medium,M,2,5432
71,A,Road,4,4,225,3,low,M,51,2892
72,D,Ship,2,4,172,5,low,M,4,4668
73,F,Ship,5,2,133,10,medium,M,53,1674
74,C,Ship,3,1,263,2,medium,M,9,4868
75,C,Ship,3,3,150,3,low,M,46,1040
76,A,Flight,5,3,199,4,low,F,24,3473
77,A,Ship,3,2,143,6,medium,M,63,1953
78,A,Ship,2,5,205,6,low,M,2,5671
79,A,Ship,3,3,220,7,low,M,25,2141
80,C,Ship,5,4,216,2,low,F,6,4535
81,B,Ship,3,1,161,3,low,F,57,1918
82,F,Ship,2,5,116,3,low,F,1,4091
83,C,Ship,4,3,175,4,medium,F,4,5685
84,C,Ship,4,5,208,2,medium,M,33,2170
85,D,Flight,6,1,260,4,medium,F,2,1131
86,B,Ship,3,4,267,3,high,M,8,5337
87,C,Ship,4,1,228,2,medium,F,9,4091
88,A,Ship,3,1,242,8,medium,M,4,4943
89,F,Ship,3,2,213,2,medium,F,54,2809
90,B,Road,5,1,249,5,medium,F,1,1654
91,A,Ship,3,5,140,3,low,M,9,4733
92,F,Road,5,2,146,7,low,F,9,5631
93,F,Ship,3,5,268,3,low,F,6,5603
94,F,Flight,4,3,167,3,medium,F,1,4621
95,A,Road,4,1,140,3,low,M,4,5210
96,A,Ship,3,1,149,2,medium,F,7,4147
97,D,Ship,3,3,202,4,low,F,9,4917
98,D,Ship,7,5,255,4,low,M,7,1104
99,D,Ship,3,1,166,2,high,F,6,5905
100,D,Ship,7,2,244,4,medium,F,8,1477
101,B,Ship,7,2,277,5,low,F,1,1700
102,C,Ship,4,2,223,3,medium,F,7,5977
103,A,Flight,4,5,295,3,low,F,2,1693
104,F,Road,3,1,180,6,low,M,5,4802
105,A,Flight,3,4,255,4,low,M,10,4107
106,D,Flight,4,4,257,5,medium,F,4,1668
107,C,Ship,3,1,263,3,medium,F,4,4208
108,C,Road,6,1,302,4,low,F,1,1622
109,F,Ship,4,5,263,2,low,M,62,2267
110,C,Ship,3,4,163,2,low,F,7,5720
111,D,Ship,5,1,171,2,low,M,9,5252
112,D,Ship,3,2,233,3,medium,M,7,5838
113,F,Ship,4,4,268,3,low,F,9,4118
114,F,Ship,2,2,274,3,high,F,60,2053
115,F,Ship,4,3,254,5,low,F,8,1851
116,C,Ship,4,3,253,6,low,F,4,1788
117,F,Ship,6,5,276,4,low,M,3,1136
118,B,Ship,5,2,157,3,low,M,1,1798
119,F,Ship,5,2,184,2,medium,M,27,3276
120,F,Ship,3,1,219,2,low,F,39,2696
121,C,Ship,7,1,307,4,low,M,4,1371
122,D,Flight,4,1,194,2,medium,F,1,4198
123,C,Flight,5,1,264,6,high,F,4,5337
124,A,Ship,3,1,257,4,low,M,8,4692
125,A,Flight,2,2,255,3,low,M,59,1514
126,C,Ship,4,4,245,2,low,F,2,4297
127,B,Ship,4,3,233,5,low,M,5,1799
128,D,Road,7,3,305,4,medium,F,5,1198
129,F,Ship,3,3,249,3,low,M,55,3375
130,D,Ship,6,2,271,10,medium,F,2,4145
131,B,Ship,3,1,173,2,low,M,10,4115
132,F,Ship,5,1,233,3,low,F,9,5039
133,B,Ship,6,1,170,3,low,F,10,4858
134,A,Ship,4,2,258,3,low,F,5,5393
135,F,Flight,3,2,151,3,low,F,7,5154
136,A,Road,3,1,159,2,medium,F,44,1806
137,B,Road,5,3,236,2,medium,M,6,1329
138,D,Ship,4,2,204,2,low,F,1,4533
139,D,Ship,3,2,198,2,medium,M,8,5889
140,D,Ship,4,5,219,2,high,M,4,4069
141,D,Flight,3,1,265,3,medium,F,10,4244
142,B,Ship,4,4,202,3,medium,M,2,4299
143,A,Flight,3,5,223,4,high,F,7,5042
144,D,Road,3,4,174,2,low,F,4,4295
145,F,Road,5,2,239,5,medium,F,6,1310
146,A,Ship,3,1,187,5,low,F,6,4698
147,F,Ship,5,4,250,2,low,F,10,4277
148,A,Ship,4,5,188,3,medium,M,8,4125
149,A,Flight,3,3,253,4,medium,F,57,2489
150,B,Road,4,5,259,3,medium,M,3,4741
151,F,Flight,3,4,201,3,high,M,7,4887
152,A,Flight,4,2,203,4,medium,F,9,4217
153,F,Flight,5,1,272,6,medium,F,2,1681
154,D,Ship,4,3,255,4,medium,F,10,4740
155,A,Road,4,5,202,3,low,F,6,2616
156,B,Ship,5,5,197,4,low,F,7,4141
157,A,Ship,4,4,210,2,medium,M,8,5942
158,D,Ship,5,4,187,3,low,F,1,4181
159,D,Road,4,5,188,3,low,M,4,4632
160,A,Ship,5,2,229,2,medium,M,1,5724
161,C,Ship,5,2,265,3,low,M,8,5447
162,F,Flight,4,5,157,4,medium,F,12,1038
163,A,Ship,6,2,269,4,medium,F,3,1665
164,A,Ship,4,1,157,2,medium,M,3,5801
165,B,Ship,6,5,261,4,low,F,9,1266
166,A,Flight,4,3,266,5,high,F,5,1590
167,B,Ship,5,3,184,4,medium,F,2,3798
168,A,Ship,3,2,221,2,medium,M,10,4715
169,C,Ship,3,2,195,2,high,M,2,4669
170,C,Ship,3,3,199,5,medium,F,10,4847
171,B,Ship,2,5,142,3,high,M,10,5174
172,D,Ship,4,5,212,2,medium,M,10,4552
173,A,Ship,4,2,296,2,medium,F,2,1233
174,A,Ship,4,5,266,3,medium,F,2,4867
175,F,Ship,3,2,204,2,high,F,2,5526
176,C,Ship,3,4,188,3,medium,F,49,3221
177,A,Ship,3,2,150,3,low,M,1,5825
178,F,Ship,6,3,244,4,medium,M,5,1108
179,C,Ship,3,1,137,5,low,F,8,4980
180,F,Road,2,5,182,2,medium,F,57,2896
181,B,Road,2,2,163,3,medium,M,35,1547
182,C,Road,4,5,148,3,high,F,6,5473
183,F,Ship,6,5,268,4,low,M,7,1600
184,C,Ship,3,4,210,2,medium,M,29,3142
185,F,Ship,6,5,249,5,medium,M,26,3897
186,F,Ship,3,2,234,3,medium,M,39,2099
187,B,Ship,3,1,268,4,medium,F,4,5006
188,B,Flight,3,1,265,4,low,M,50,2249
189,B,Ship,3,2,209,2,medium,F,2,4635
190,F,Flight,4,5,142,10,high,F,5,4147
191,C,Ship,4,2,161,2,high,F,8,5654
192,B,Flight,4,4,248,5,medium,M,2,1651
193,F,Flight,5,1,237,2,low,F,10,3860
194,D,Ship,4,4,182,3,high,F,7,5197
195,C,Ship,4,5,192,3,medium,F,41,3873
196,A,Ship,3,2,228,3,medium,F,4,4208
197,F,Road,4,1,211,3,medium,F,7,4083
198,C,Ship,4,4,253,5,low,F,2,1709
199,F,Ship,3,3,162,7,medium,F,42,1278
200,A,Ship,5,2,176,3,low,M,9,5656
201,D,Flight,4,5,185,2,low,F,4,5428
202,F,Ship,4,4,150,2,medium,M,3,1285
203,B,Ship,3,1,241,2,low,M,8,5602
204,F,Ship,4,3,191,3,medium,M,1,4219
205,C,Flight,4,4,239,2,medium,M,4,4304
206,A,Flight,4,3,267,4,low,M,7,5140
207,C,Ship,6,2,266,4,low,F,9,1220
208,F,Ship,4,3,257,3,low,M,8,4447
209,A,Ship,4,3,214,2,medium,F,6,4345
210,D,Road,4,2,245,3,medium,F,2,4835
211,A,Ship,2,3,258,2,low,M,4,5052
212,F,Road,6,1,139,5,medium,M,1,4243
213,D,Ship,3,3,259,3,medium,F,4,4259
214,A,Ship,4,4,257,10,medium,M,4,4710
215,C,Ship,5,5,240,5,medium,M,10,1574
216,F,Ship,2,2,156,4,high,M,9,4184
217,C,Flight,5,1,233,5,medium,M,4,1622
218,A,Ship,3,4,180,2,medium,F,49,1942
219,C,Ship,2,4,182,4,medium,M,1,3624
220,F,Ship,3,2,210,3,medium,M,8,4011
221,F,Road,4,2,162,6,low,F,4,4094
222,C,Ship,3,4,154,2,low,M,29,1016
223,C,Road,3,3,155,3,medium,M,5,4957
224,D,Road,4,2,209,2,medium,M,3,5607
225,F,Road,3,4,240,3,low,F,28,2356
226,A,Ship,4,2,267,5,low,M,3,1933
227,C,Road,3,1,236,6,medium,F,10,4858
228,B,Ship,3,1,155,3,medium,F,2,5446
229,C,Ship,4,1,153,3,medium,M,5,5952
230,F,Ship,4,4,224,3,medium,F,1,4231
231,F,Flight,4,1,164,3,high,F,1,5492
232,C,Ship,6,3,256,5,low,F,1,1980
233,C,Road,5,1,258,6,low,F,7,4344
234,D,Flight,4,4,244,2,medium,F,7,5543
235,F,Ship,4,2,170,6,medium,M,10,4891
236,F,Ship,4,3,260,3,low,F,5,5540
237,A,Road,3,1,256,4,low,M,6,4814
238,F,Flight,3,5,162,2,medium,M,7,1739
239,D,Road,5,5,132,2,high,F,1,4233
240,B,Ship,4,2,256,2,medium,M,10,3128
241,C,Flight,4,3,249,3,low,M,5,5017
242,F,Ship,5,4,262,3,medium,F,6,4428
243,F,Ship,4,5,189,3,medium,F,3,5193
244,B,Ship,4,2,180,3,low,M,3,1518
245,A,Ship,3,1,267,3,low,M,5,5528
246,C,Ship,4,2,216,3,low,F,12,2273
247,F,Ship,4,5,233,4,low,F,6,1495
248,F,Ship,4,1,229,3,medium,F,20,2891
249,D,Ship,4,3,209,5,medium,M,6,4384
250,F,Ship,4,1,271,2,medium,F,8,2401
251,C,Road,2,2,174,3,low,F,3,5348
252,A,Ship,6,3,281,4,medium,F,7,1599
253,B,Ship,3,1,231,2,low,M,44,3688
254,A,Ship,3,5,270,3,medium,M,5,4843
255,F,Ship,3,4,136,2,medium,F,54,1056
256,C,Flight,2,5,202,3,low,M,50,2587
257,A,Ship,2,3,139,3,low,M,9,1471
258,A,Road,3,1,169,3,high,M,24,1740
259,A,Ship,5,1,236,4,high,F,64,3231
260,D,Ship,4,2,227,5,medium,M,6,4618
261,A,Ship,4,4,173,5,medium,F,51,1691
262,F,Ship,7,2,305,4,medium,M,7,1813
263,F,Flight,3,3,104,5,medium,F,41,1936
264,C,Flight,2,1,111,3,medium,M,16,1882
265,F,Flight,5,2,102,5,medium,F,3,4784
266,B,Road,3,1,267,2,low,F,9,5744
267,F,Flight,4,1,233,2,low,F,48,2804
268,D,Ship,6,4,205,3,low,F,44,2064
269,D,Flight,4,1,207,5,low,M,48,2399
270,A,Ship,5,1,237,5,medium,F,2,1429
271,D,Ship,4,5,224,2,low,M,6,4994
272,F,Ship,4,4,301,5,low,M,6,1931
273,B,Ship,3,1,162,2,low,F,52,1125
274,F,Ship,3,3,165,2,low,M,8,5813
275,C,Flight,5,1,265,3,medium,M,6,2452
276,C,Ship,6,4,283,4,medium,M,1,1384
277,A,Ship,3,3,133,3,low,F,2,4926
278,D,Road,3,3,145,3,medium,M,1,5709
279,D,Flight,4,3,255,5,low,M,1,1192
280,F,Flight,2,5,156,5,medium,M,7,5780
281,D,Ship,4,5,160,3,low,F,9,5799
282,A,Flight,7,1,255,5,medium,M,10,1238
283,F,Ship,2,5,159,3,low,M,5,4190
284,F,Ship,3,3,211,3,medium,M,7,5185
285,F,Flight,5,1,245,5,low,F,7,1092
286,A,Ship,3,1,183,2,low,M,5,5329
287,C,Road,5,3,249,4,medium,M,1,1014
288,D,Ship,4,4,226,5,low,M,1,1761
289,A,Ship,3,4,228,2,medium,M,46,3306
290,C,Ship,4,2,195,2,medium,M,10,4640
291,D,Ship,4,3,185,3,medium,M,3,3131
292,F,Ship,4,4,127,4,high,M,54,1239
293,B,Flight,3,5,189,2,low,M,8,4567
294,B,Road,4,5,244,4,medium,F,2,5365
295,F,Ship,4,2,283,7,high,F,9,5252
296,B,Ship,3,2,207,3,medium,F,1,4369
297,F,Ship,4,5,223,3,low,M,9,5649
298,F,Flight,6,1,285,4,low,F,3,1448
299,B,Ship,5,3,156,2,low,M,1,1147
300,C,Ship,5,5,134,2,medium,M,53,1088
301,A,Ship,5,4,248,4,medium,F,5,4271
302,F,Ship,4,1,276,2,medium,M,3,1966
303,D,Flight,6,2,291,4,low,M,8,1019
304,D,Flight,3,4,199,3,medium,M,10,4925
305,B,Ship,4,5,273,5,medium,F,7,1409
306,F,Ship,5,3,216,3,low,F,40,2146
307,A,Flight,3,5,255,7,medium,M,8,4091
308,F,Road,3,4,176,3,high,M,36,1779
309,C,Ship,5,2,228,5,low,M,6,1726
310,C,Ship,4,4,234,2,medium,F,8,5744
311,D,Ship,5,4,280,4,low,M,10,5156
312,C,Flight,5,5,195,3,low,M,55,2641
313,A,Ship,3,3,163,2,medium,F,48,1369
314,F,Ship,3,2,238,2,low,F,29,3728
315,D,Ship,5,1,189,2,medium,M,8,5219
316,D,Ship,6,2,292,4,medium,M,2,1149
317,F,Ship,2,4,246,2,low,M,10,5337
318,F,Ship,5,4,211,2,medium,F,7,4734
319,F,Ship,4,3,251,5,medium,M,2,1482
320,C,Ship,3,5,256,3,low,M,7,4366
321,F,Ship,4,3,158,3,medium,F,27,1207
322,C,Road,5,3,261,4,medium,F,5,4623
323,F,Ship,4,3,179,3,low,M,45,1903
324,B,Ship,4,2,265,5,low,M,8,1555
325,B,Road,4,3,252,2,medium,F,51,2658
326,C,Ship,4,4,229,6,low,M,2,1279
327,D,Ship,2,5,155,3,low,M,23,1602
328,A,Ship,3,1,189,2,low,F,5,4738
329,D,Ship,4,2,220,3,high,F,39,2459
330,C,Ship,5,2,230,2,medium,M,9,4483
331,C,Ship,5,3,162,4,low,F,6,1968
332,A,Ship,3,3,224,4,medium,M,10,4147
333,F,Ship,5,3,233,5,medium,F,3,1398
334,B,Ship,2,3,164,2,low,M,56,1491
335,B,Ship,5,3,240,5,low,M,6,1489
336,D,Ship,4,4,261,5,low,F,4,1649
337,F,Ship,4,5,201,8,medium,F,4,5472
338,A,Ship,4,1,204,4,low,F,3,1667
339,A,Ship,2,1,189,2,high,M,48,2429
340,B,Ship,3,2,253,2,low,M,8,5608
341,C,Flight,4,5,108,10,medium,F,7,5928
342,F,Ship,3,2,167,4,medium,M,49,1973
343,B,Ship,3,4,194,3,medium,M,3,2169
344,D,Ship,3,4,154,2,medium,M,5,5735
345,F,Ship,4,4,162,3,medium,M,41,1104
346,B,Road,4,5,185,2,low,M,6,4610
347,D,Road,6,5,245,4,low,M,3,1716
348,A,Ship,5,2,264,5,medium,M,4,1318
349,F,Ship,3,2,144,3,high,M,1,5307
350,A,Road,5,1,238,4,medium,M,10,4668
351,F,Road,5,3,234,5,low,M,7,1691
352,D,Ship,3,2,211,3,high,M,7,4145
353,F,Ship,5,4,255,6,low,M,3,4638
354,C,Ship,4,1,274,5,low,F,5,1581
355,B,Road,4,4,208,2,high,F,20,2759
356,F,Ship,5,1,226,5,medium,M,3,1409
357,C,Ship,5,2,158,3,medium,M,2,5221
358,D,Ship,3,5,257,3,low,F,52,2170
359,D,Flight,5,2,279,4,low,F,8,4418
360,C,Ship,4,1,118,5,low,M,50,1413
361,F,Ship,3,5,270,3,high,F,7,4459
362,A,Flight,6,1,274,5,low,F,8,4292
363,C,Road,4,5,242,2,medium,F,5,4806
364,D,Flight,6,4,270,4,low,F,10,1698
365,D,Ship,3,5,199,3,medium,F,62,3259
366,F,Ship,3,3,157,4,medium,F,7,4487
367,B,Ship,4,4,218,2,medium,M,27,2824
368,F,Flight,5,4,223,3,low,F,40,2074
369,F,Ship,3,3,226,3,low,M,4,5048
370,A,Ship,4,5,199,4,medium,M,1,5585
371,A,Ship,4,5,98,4,low,F,5,4643
372,C,Ship,2,5,243,3,medium,F,9,4182
373,D,Road,3,4,260,5,low,M,2,4461
374,F,Ship,4,4,221,4,low,F,2,5595
375,A,Ship,3,1,242,5,low,F,3,4026
376,F,Flight,3,1,187,2,low,F,8,4292
377,F,Ship,4,5,177,7,low,F,2,4299
378,F,Flight,4,3,246,2,low,M,60,2086
379,C,Ship,4,3,264,2,low,F,38,3877
380,B,Flight,4,5,214,3,high,F,1,4004
381,D,Flight,5,3,269,5,low,F,3,1667
382,A,Road,4,2,140,3,medium,F,49,1820
383,F,Flight,3,2,129,3,high,M,9,4342
384,C,Ship,5,4,273,3,low,F,60,3384
385,F,Ship,5,1,307,4,low,M,8,1511
386,F,Road,4,4,236,7,medium,M,62,2280
387,D,Ship,4,3,184,3,low,F,37,3436
388,F,Ship,4,1,271,2,low,F,1,4866
389,B,Ship,3,2,138,3,medium,F,34,1159
390,D,Ship,7,3,305,4,medium,F,3,1426
391,F,Ship,4,3,225,2,low,M,2,4520
392,F,Ship,7,5,289,4,low,F,5,1864
393,F,Road,4,3,217,3,low,M,51,3144
394,B,Ship,4,5,161,2,high,F,5,5133
395,D,Ship,5,4,190,2,medium,M,9,3753
396,C,Ship,5,1,251,4,low,M,1,5011
397,B,Road,5,2,227,6,medium,F,6,1620
398,A,Ship,4,2,224,3,low,F,3,5967
399,C,Road,6,1,280,4,low,F,5,1624
400,F,Flight,4,1,269,3,low,F,3,4409
401,A,Ship,2,2,145,2,low,M,1,1126
402,F,Ship,4,2,238,3,low,F,28,1040
403,C,Ship,7,5,293,4,low,F,2,1080
404,F,Ship,4,3,250,6,medium,M,7,5115
405,F,Ship,3,3,151,3,low,M,9,5082
406,A,Ship,5,5,153,5,medium,M,10,5297
407,B,Road,2,2,247,3,medium,F,9,4284
408,C,Flight,5,2,116,5,high,F,56,1130
409,D,Ship,4,4,184,3,low,F,52,3128
410,F,Road,4,4,151,3,medium,F,6,1930
411,C,Ship,3,2,221,3,low,F,21,3686
412,B,Ship,5,1,210,3,low,F,9,2944
413,C,Ship,6,4,237,5,medium,F,10,5434
414,A,Ship,5,5,245,5,low,F,1,1924
415,C,Ship,4,2,274,2,medium,M,55,3416
416,F,Ship,5,1,229,6,low,M,9,1883
417,D,Ship,3,3,169,3,low,F,9,4317
418,C,Ship,4,2,244,5,low,F,7,5337
419,B,Ship,3,2,192,3,medium,F,64,3233
420,F,Road,3,5,139,3,low,F,1,4060
421,D,Ship,5,4,241,3,medium,M,40,3484
422,C,Ship,3,1,268,3,low,F,47,2479
423,F,Flight,5,5,156,2,low,F,8,4817
424,B,Flight,5,5,173,3,low,M,4,5265
425,A,Ship,4,5,243,3,low,F,2,4909
426,D,Road,3,2,180,6,medium,M,3,5780
427,B,Flight,4,2,238,3,low,M,30,3423
428,F,Ship,4,4,265,4,medium,F,6,4607
429,F,Ship,3,2,151,2,low,F,3,4759
430,A,Ship,3,5,233,2,medium,M,1,4913
431,B,Ship,5,2,239,2,medium,F,15,2471
432,B,Flight,4,1,224,3,low,M,9,5546
433,D,Ship,4,3,251,3,high,M,8,5986
434,C,Road,4,2,268,3,medium,M,1,4927
435,F,Ship,3,1,150,2,low,F,6,5697
436,A,Flight,4,4,164,2,low,M,7,5456
437,D,Ship,4,3,188,4,medium,M,7,4024
438,F,Flight,3,1,158,5,low,M,9,1537
439,A,Flight,4,2,258,5,low,F,8,1878
440,F,Road,4,3,266,3,low,M,9,5621
441,F,Ship,4,1,258,3,medium,F,4,3686
442,F,Ship,6,1,144,4,low,F,5,5121
443,F,Flight,3,2,169,2,medium,F,19,1922
444,B,Ship,4,1,200,3,medium,F,5,4120
445,F,Flight,4,1,226,3,low,M,42,3077
446,F,Road,6,1,306,4,low,M,1,1210
447,F,Ship,3,4,212,2,medium,F,56,3976
448,A,Road,5,3,269,3,low,F,8,4811
449,C,Flight,5,5,169,2,medium,F,14,1497
450,B,Ship,6,3,274,6,medium,F,2,4281
451,F,Road,4,4,183,3,low,M,29,3251
452,F,Ship,4,5,136,3,low,F,1,4585
453,F,Ship,4,3,287,4,low,M,6,5889
454,F,Ship,3,2,157,3,high,F,1,5398
455,F,Flight,4,5,209,8,medium,F,59,2948
456,F,Road,5,3,160,3,low,F,10,4416
457,D,Ship,4,3,175,2,medium,M,3,4961
458,C,Ship,5,3,273,4,medium,M,1,5119
459,B,Ship,7,2,248,4,medium,F,1,1163
460,A,Ship,7,3,281,4,low,M,1,1215
461,B,Ship,5,2,225,5,low,M,5,1015
462,B,Ship,4,1,284,4,low,F,4,4795
463,C,Road,5,5,222,3,low,M,10,2280
464,C,Ship,4,1,160,5,low,F,10,4018
465,F,Ship,4,2,267,5,medium,F,2,1307
466,B,Ship,4,1,275,10,medium,F,23,2726
467,B,Road,4,1,260,3,low,M,9,4239
468,F,Ship,4,3,201,2,low,F,4,4955
469,A,Ship,5,4,203,2,high,F,2,4190
470,D,Flight,6,5,260,4,low,F,2,1221
471,B,Flight,5,3,234,3,low,F,6,4632
472,C,Ship,3,3,205,2,medium,F,54,2427
473,F,Flight,4,2,172,3,medium,F,59,1858
474,D,Ship,4,4,161,4,low,M,5,5038
475,F,Ship,3,4,271,2,low,M,14,2163
476,C,Ship,4,2,241,6,medium,M,5,4880
477,D,Ship,4,4,259,3,low,M,3,4509
478,F,Flight,4,1,164,2,medium,F,3,1124
479,A,Road,7,1,275,4,medium,M,7,1754
480,C,Ship,3,1,186,2,low,F,1,5054
481,C,Road,5,1,271,4,low,F,4,2718
482,B,Ship,4,3,160,2,low,M,5,4522
483,F,Ship,5,1,144,2,low,F,20,1082
484,C,Ship,3,2,260,3,medium,F,2,2176
485,D,Ship,3,5,146,5,low,F,3,5489
486,D,Road,3,3,172,3,medium,F,42,1707
487,B,Ship,5,1,167,2,low,M,62,1884
488,C,Ship,4,2,245,2,low,M,8,5871
489,F,Ship,3,5,193,3,medium,F,9,4982
490,F,Ship,3,5,98,3,medium,F,3,5553
491,A,Ship,4,5,255,4,low,M,14,3099
492,A,Ship,5,5,272,4,medium,M,10,1383
493,F,Ship,4,2,232,3,high,M,46,2835
494,C,Ship,4,2,151,3,medium,M,10,5698
495,D,Ship,6,5,301,4,medium,F,2,1943
496,F,Road,3,3,153,3,low,F,3,4829
497,F,Ship,3,2,188,5,medium,M,7,5673
498,F,Ship,4,4,185,3,medium,M,9,4469
499,F,Ship,3,1,220,2,low,F,7,5653
500,D,Road,4,3,208,3,medium,F,3,4837
501,C,Road,3,3,176,3,medium,M,9,5575
502,A,Ship,4,1,186,3,low,F,6,4758
503,B,Flight,2,5,198,2,medium,M,4,1913
504,B,Flight,5,4,268,3,medium,M,6,2206
505,F,Ship,4,4,185,3,low,F,2,5288
506,B,Ship,5,5,221,5,low,F,8,1123
507,B,Ship,4,2,274,2,low,M,10,4361
508,F,Ship,5,3,245,2,medium,F,8,3231
509,F,Flight,4,5,134,3,medium,M,3,5000
510,F,Road,2,1,228,2,medium,M,10,4854
511,B,Ship,5,5,245,5,low,M,5,1252
512,F,Ship,4,3,149,6,medium,M,5,5456
513,F,Ship,3,1,270,2,medium,M,6,4966
514,A,Road,4,1,204,6,low,M,1,4943
515,A,Ship,7,5,296,4,low,F,2,1823
516,F,Ship,6,1,246,6,low,F,9,5466
517,A,Ship,5,4,235,3,low,M,3,4411
518,F,Ship,5,1,224,2,low,F,14,2959
519,F,Road,3,5,268,2,medium,M,5,1707
520,D,Ship,4,1,261,3,low,F,10,5943
521,A,Ship,5,5,271,2,medium,M,6,4788
522,A,Ship,6,5,212,4,medium,F,13,3676
523,A,Flight,5,4,172,2,low,M,5,4554
524,C,Ship,4,2,194,4,medium,F,26,3818
525,A,Road,4,5,198,3,low,M,2,4272
526,C,Ship,4,5,165,3,high,M,5,4735
527,D,Ship,4,2,262,3,low,M,2,4015
528,B,Ship,4,3,202,3,low,F,48,2213
529,C,Ship,5,1,136,3,low,M,10,5308
530,C,Flight,4,5,150,2,low,F,30,1782
531,A,Ship,6,4,292,4,medium,F,1,1372
532,F,Ship,4,4,176,3,medium,M,53,1472
533,F,Flight,5,2,217,3,high,M,21,2600
534,F,Ship,5,1,254,5,medium,M,10,1020
535,C,Ship,5,4,178,6,medium,M,10,5197
536,F,Ship,5,1,137,5,low,M,4,4586
537,F,Flight,4,3,183,3,low,F,6,5712
538,C,Flight,5,2,159,3,low,M,5,4930
539,D,Flight,3,3,264,3,low,F,6,5482
540,F,Flight,3,4,144,2,low,F,33,1811
541,D,Ship,3,2,220,3,low,M,22,2818
542,D,Flight,3,3,163,3,medium,M,5,5362
543,D,Ship,4,2,238,3,low,F,28,1915
544,C,Flight,3,5,182,3,medium,M,34,3595
545,B,Ship,5,5,245,5,medium,F,4,4627
546,F,Ship,3,5,228,4,medium,M,57,2243
